ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAAF3D0ED4AFF7B04A2,2020-05-07 00:00:00,001,颗粒物,0.86,20,,0,0,2020-05-08T09:23:03.193,2020-05-08T09:23:09.943,20200507
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAAF3D0ED4AFF7B04A2,2020-05-07 00:00:00,002,二氧化硫,2.28,80,,0,0,2020-05-08T09:23:03.193,2020-05-08T09:23:09.943,20200507
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAAF3D0ED4AFF7B04A2,2020-05-07 00:00:00,003,氮氧化物,57.54,250,,0,0,2020-05-08T09:23:03.193,2020-05-08T09:23:09.943,20200507
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAAF3D0ED4AFF7B04A2,2020-05-07 00:00:00,004,一氧化碳,1.76,80,,0,0,2020-05-08T09:23:03.193,2020-05-08T09:23:09.943,20200507
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAAF3D0ED4AFF7B04A2,2020-05-07 00:00:00,008,氯化氢,0.25,50,,0,0,2020-05-08T09:23:03.193,2020-05-08T09:23:09.943,20200507
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAA6856F37C3B7E4CC4,2020-05-07 00:00:00,001,颗粒物,1.14,20,,0,0,2020-05-08T09:23:03.193,2020-05-08T09:23:09.943,20200507
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAA6856F37C3B7E4CC4,2020-05-07 00:00:00,002,二氧化硫,0.08,80,,0,0,2020-05-08T09:23:03.193,2020-05-08T09:23:09.943,20200507
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAA6856F37C3B7E4CC4,2020-05-07 00:00:00,003,氮氧化物,50.71,250,,0,0,2020-05-08T09:23:03.193,2020-05-08T09:23:09.943,20200507
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAA6856F37C3B7E4CC4,2020-05-07 00:00:00,004,一氧化碳,4.7,80,,0,0,2020-05-08T09:23:03.193,2020-05-08T09:23:09.943,20200507
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAA6856F37C3B7E4CC4,2020-05-07 00:00:00,008,氯化氢,1.08,50,,0,0,2020-05-08T09:23:03.193,2020-05-08T09:23:09.943,20200507
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAA584057B6AE4A7B0D,2020-05-07 00:00:00,001,颗粒物,0.46,20,,0,0,2020-05-08T09:23:03.193,2020-05-08T09:23:09.943,20200507
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAA584057B6AE4A7B0D,2020-05-07 00:00:00,002,二氧化硫,4.91,80,,0,0,2020-05-08T09:23:03.193,2020-05-08T09:23:09.943,20200507
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAA584057B6AE4A7B0D,2020-05-07 00:00:00,003,氮氧化物,53.22,250,,0,0,2020-05-08T09:23:03.193,2020-05-08T09:23:09.943,20200507
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAA584057B6AE4A7B0D,2020-05-07 00:00:00,004,一氧化碳,3.11,80,,0,0,2020-05-08T09:23:03.193,2020-05-08T09:23:09.943,20200507
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAA584057B6AE4A7B0D,2020-05-07 00:00:00,008,氯化氢,0.78,50,,0,0,2020-05-08T09:23:03.193,2020-05-08T09:23:09.943,20200507
