ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
7C95A9A07BA99A8851DC41CEC06ED326,7C95A9A07BA99A88E5CB45B2FA051414,2020-05-30 00:00:00,001,颗粒物,0.6,20,,0,0,2020-05-31T09:21:08.86,2020-05-31T09:21:12.81,20200530
7C95A9A07BA99A8851DC41CEC06ED326,7C95A9A07BA99A88E5CB45B2FA051414,2020-05-30 00:00:00,002,二氧化硫,3.82,80,,0,0,2020-05-31T09:21:08.86,2020-05-31T09:21:12.81,20200530
7C95A9A07BA99A8851DC41CEC06ED326,7C95A9A07BA99A88E5CB45B2FA051414,2020-05-30 00:00:00,003,氮氧化物,161.59,250,,0,0,2020-05-31T09:21:08.86,2020-05-31T09:21:12.81,20200530
7C95A9A07BA99A8851DC41CEC06ED326,7C95A9A07BA99A88E5CB45B2FA051414,2020-05-30 00:00:00,004,一氧化碳,3.61,80,,0,0,2020-05-31T09:21:08.86,2020-05-31T09:21:12.81,20200530
7C95A9A07BA99A8851DC41CEC06ED326,7C95A9A07BA99A88E5CB45B2FA051414,2020-05-30 00:00:00,008,氯化氢,6.09,50,,0,0,2020-05-31T09:21:08.86,2020-05-31T09:21:12.81,20200530
7C95A9A07BA99A8851DC41CEC06ED326,7C95A9A07BA99A8821209E6D6A77520A,2020-05-30 00:00:00,001,颗粒物,1.21,20,,0,0,2020-05-31T09:21:08.86,2020-05-31T09:21:12.81,20200530
7C95A9A07BA99A8851DC41CEC06ED326,7C95A9A07BA99A8821209E6D6A77520A,2020-05-30 00:00:00,002,二氧化硫,9.34,80,,0,0,2020-05-31T09:21:08.86,2020-05-31T09:21:12.81,20200530
7C95A9A07BA99A8851DC41CEC06ED326,7C95A9A07BA99A8821209E6D6A77520A,2020-05-30 00:00:00,003,氮氧化物,163.16,250,,0,0,2020-05-31T09:21:08.86,2020-05-31T09:21:12.81,20200530
7C95A9A07BA99A8851DC41CEC06ED326,7C95A9A07BA99A8821209E6D6A77520A,2020-05-30 00:00:00,004,一氧化碳,3.13,80,,0,0,2020-05-31T09:21:08.86,2020-05-31T09:21:12.81,20200530
7C95A9A07BA99A8851DC41CEC06ED326,7C95A9A07BA99A8821209E6D6A77520A,2020-05-30 00:00:00,008,氯化氢,9.21,50,,0,0,2020-05-31T09:21:08.86,2020-05-31T09:21:12.81,20200530
7C95A9A07BA99A8851DC41CEC06ED326,7C95A9A07BA99A884BDAF96DE2A4555B,2020-05-30 00:00:00,001,颗粒物,,20,,0,0,2020-05-31T09:21:08.86,2020-05-31T09:21:08.86,20200530
7C95A9A07BA99A8851DC41CEC06ED326,7C95A9A07BA99A884BDAF96DE2A4555B,2020-05-30 00:00:00,002,二氧化硫,,80,,0,0,2020-05-31T09:21:08.86,2020-05-31T09:21:08.86,20200530
7C95A9A07BA99A8851DC41CEC06ED326,7C95A9A07BA99A884BDAF96DE2A4555B,2020-05-30 00:00:00,003,氮氧化物,,250,,0,0,2020-05-31T09:21:08.86,2020-05-31T09:21:08.86,20200530
7C95A9A07BA99A8851DC41CEC06ED326,7C95A9A07BA99A884BDAF96DE2A4555B,2020-05-30 00:00:00,004,一氧化碳,,80,,0,0,2020-05-31T09:21:08.86,2020-05-31T09:21:08.86,20200530
7C95A9A07BA99A8851DC41CEC06ED326,7C95A9A07BA99A884BDAF96DE2A4555B,2020-05-30 00:00:00,008,氯化氢,,50,,0,0,2020-05-31T09:21:08.86,2020-05-31T09:21:08.86,20200530
