ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
01183E1539DD4FB27361509B5883F968,01183E1539DD4FB2F1880059339618642AA28D71ABE8C345,2020-05-16 00:00:00,001,颗粒物,0.28,20,,0,0,2020-05-17T09:21:49.847,2020-05-17T09:21:55.837,20200516
01183E1539DD4FB27361509B5883F968,01183E1539DD4FB2F1880059339618642AA28D71ABE8C345,2020-05-16 00:00:00,002,二氧化硫,0.3,80,,0,0,2020-05-17T09:21:49.847,2020-05-17T09:21:55.837,20200516
01183E1539DD4FB27361509B5883F968,01183E1539DD4FB2F1880059339618642AA28D71ABE8C345,2020-05-16 00:00:00,003,氮氧化物,39.4,250,,0,0,2020-05-17T09:21:49.847,2020-05-17T09:21:55.837,20200516
01183E1539DD4FB27361509B5883F968,01183E1539DD4FB2F1880059339618642AA28D71ABE8C345,2020-05-16 00:00:00,004,一氧化碳,1.15,80,,0,0,2020-05-17T09:21:49.847,2020-05-17T09:21:55.837,20200516
01183E1539DD4FB27361509B5883F968,01183E1539DD4FB2F1880059339618642AA28D71ABE8C345,2020-05-16 00:00:00,008,氯化氢,1.6,50,,0,0,2020-05-17T09:21:49.847,2020-05-17T09:21:55.837,20200516
01183E1539DD4FB27361509B5883F968,01183E1539DD4FB2BC068CE19ED4FAE69C842D04BB415E6C,2020-05-16 00:00:00,001,颗粒物,0.51,20,,0,0,2020-05-17T09:21:49.847,2020-05-17T09:21:55.837,20200516
01183E1539DD4FB27361509B5883F968,01183E1539DD4FB2BC068CE19ED4FAE69C842D04BB415E6C,2020-05-16 00:00:00,002,二氧化硫,0.0,80,,0,0,2020-05-17T09:21:49.847,2020-05-17T09:21:55.837,20200516
01183E1539DD4FB27361509B5883F968,01183E1539DD4FB2BC068CE19ED4FAE69C842D04BB415E6C,2020-05-16 00:00:00,003,氮氧化物,40.9,250,,0,0,2020-05-17T09:21:49.847,2020-05-17T09:21:55.837,20200516
01183E1539DD4FB27361509B5883F968,01183E1539DD4FB2BC068CE19ED4FAE69C842D04BB415E6C,2020-05-16 00:00:00,004,一氧化碳,2.5,80,,0,0,2020-05-17T09:21:49.847,2020-05-17T09:21:55.837,20200516
01183E1539DD4FB27361509B5883F968,01183E1539DD4FB2BC068CE19ED4FAE69C842D04BB415E6C,2020-05-16 00:00:00,008,氯化氢,2.4,50,,0,0,2020-05-17T09:21:49.847,2020-05-17T09:21:55.837,20200516
01183E1539DD4FB27361509B5883F968,01183E1539DD4FB20988E794BFE54FEEFAB5ABE2675F1B13,2020-05-16 00:00:00,001,颗粒物,0.85,20,,0,0,2020-05-17T09:21:49.847,2020-05-17T09:21:55.837,20200516
01183E1539DD4FB27361509B5883F968,01183E1539DD4FB20988E794BFE54FEEFAB5ABE2675F1B13,2020-05-16 00:00:00,002,二氧化硫,0.2,80,,0,0,2020-05-17T09:21:49.847,2020-05-17T09:21:55.837,20200516
01183E1539DD4FB27361509B5883F968,01183E1539DD4FB20988E794BFE54FEEFAB5ABE2675F1B13,2020-05-16 00:00:00,003,氮氧化物,36.4,250,,0,0,2020-05-17T09:21:49.847,2020-05-17T09:21:55.837,20200516
01183E1539DD4FB27361509B5883F968,01183E1539DD4FB20988E794BFE54FEEFAB5ABE2675F1B13,2020-05-16 00:00:00,004,一氧化碳,2.4,80,,0,0,2020-05-17T09:21:49.847,2020-05-17T09:21:55.837,20200516
01183E1539DD4FB27361509B5883F968,01183E1539DD4FB20988E794BFE54FEEFAB5ABE2675F1B13,2020-05-16 00:00:00,008,氯化氢,0.0,50,,0,0,2020-05-17T09:21:49.847,2020-05-17T09:21:55.837,20200516
01183E1539DD4FB27361509B5883F968,01183E1539DD4FB20AF0054A21CAF00A08D75AB316AA8B0C,2020-05-16 00:00:00,001,颗粒物,0.25,20,,0,0,2020-05-17T09:21:49.847,2020-05-17T09:21:55.837,20200516
01183E1539DD4FB27361509B5883F968,01183E1539DD4FB20AF0054A21CAF00A08D75AB316AA8B0C,2020-05-16 00:00:00,002,二氧化硫,5.99,80,,0,0,2020-05-17T09:21:49.847,2020-05-17T09:21:55.837,20200516
01183E1539DD4FB27361509B5883F968,01183E1539DD4FB20AF0054A21CAF00A08D75AB316AA8B0C,2020-05-16 00:00:00,003,氮氧化物,32.71,250,,0,0,2020-05-17T09:21:49.847,2020-05-17T09:21:55.837,20200516
01183E1539DD4FB27361509B5883F968,01183E1539DD4FB20AF0054A21CAF00A08D75AB316AA8B0C,2020-05-16 00:00:00,004,一氧化碳,3.47,80,,0,0,2020-05-17T09:21:49.847,2020-05-17T09:21:55.837,20200516
01183E1539DD4FB27361509B5883F968,01183E1539DD4FB20AF0054A21CAF00A08D75AB316AA8B0C,2020-05-16 00:00:00,008,氯化氢,2.2,50,,0,0,2020-05-17T09:21:49.847,2020-05-17T09:21:55.837,20200516
